relative_path,parent_dataset,extension,size_bytes,modified_at,detected_format,encoding,schema_or_fields,spatial_fields,detected_crs,time_fields,time_coverage,row_count_estimate,source_or_owner_hint,license_hint,sensitivity_or_risk,proposed_ingestion_route,decision,decision_reason,follow_up_required
92_全球珊瑚礁位置\92_全球珊瑚礁位置\SHP\全球珊瑚礁位置.shp,92_全球珊瑚礁位置,.shp,281444,2022-04-26T18:09:04+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\SHP\全球珊瑚礁位置.shp.xml,92_全球珊瑚礁位置,.xml,1470,2022-04-26T18:09:04+08:00,XML,utf-8,,,EPSG:4326,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
92_全球珊瑚礁位置\92_全球珊瑚礁位置\SHP\全球珊瑚礁位置.shx,92_全球珊瑚礁位置,.shx,80484,2022-04-26T18:09:04+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自 UNEP-WCMC 或類似全球珊瑚礁資料庫,未確認,中,pending_rights_review,待審核,全球範圍資料。可篩選臺灣範圍作為 structured_evidence_candidate，但需確認來源授權與 CRS。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；確認 CRS 是否為 WGS84；篩選臺灣範圍
tmp_work\audit_current_data.py,tmp_work（暫存工作）,.py,10905,2026-09-17T22:30:49+08:00,Python,utf-8,,,,,,,專案內部暫存,未確認,低,excluded_or_link_only,排除,暫存腳本與報告素材，非正式資料來源，不可作為事實依據。,無
tmp_work\build_report.py,tmp_work（暫存工作）,.py,54667,2026-09-17T22:38:56+08:00,Python,utf-8,,,,,,,專案內部暫存,未確認,低,excluded_or_link_only,排除,暫存腳本與報告素材，非正式資料來源，不可作為事實依據。,無
tmp_work\report_assets\rag_architecture.png,tmp_work（暫存工作）,.png,123120,2026-09-17T22:39:04+08:00,Image,binary,,,,,,,專案內部暫存,未確認,低,excluded_or_link_only,排除,暫存腳本與報告素材，非正式資料來源，不可作為事實依據。,無
tmp_work\report_assets\research_framework.png,tmp_work（暫存工作）,.png,104754,2026-09-17T22:39:04+08:00,Image,binary,,,,,,,專案內部暫存,未確認,低,excluded_or_link_only,排除,暫存腳本與報告素材，非正式資料來源，不可作為事實依據。,無
全台開放釣點位置\海灘資料-全台開放釣點位置\海灘資料-全台開放釣點位置\全台開放釣點位置.kml,全台開放釣點位置,.kml,38636,2026-09-17T18:51:41+08:00,KML,utf-8,,,,,,,可能來自海巡署或漁業署,未確認,低,structured_evidence_candidate,候選,GIS KML 釣點位置資料。可作為近岸活動地點參考，但釣點不等於潛點。,確認來源與授權；確認 CRS
全國海灘環境調查\海灘資料-(人造物類)突堤\海灘資料-(人造物類)突堤\海灘_突堤.cpg,全國海灘環境調查,.cpg,5,2026-09-17T18:49:37+08:00,Shapefile CPG,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)突堤\海灘資料-(人造物類)突堤\海灘_突堤.dbf,全國海灘環境調查,.dbf,91165,2026-09-17T18:49:37+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)突堤\海灘資料-(人造物類)突堤\海灘_突堤.prj,全國海灘環境調查,.prj,145,2026-09-17T18:49:37+08:00,Shapefile PRJ,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)突堤\海灘資料-(人造物類)突堤\海灘_突堤.shp,全國海灘環境調查,.shp,27264,2026-09-17T18:49:37+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)突堤\海灘資料-(人造物類)突堤\海灘_突堤.shx,全國海灘環境調查,.shx,2412,2026-09-17T18:49:37+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)防護工\海灘資料-(人造物類)防護工\海灘_保護工.cpg,全國海灘環境調查,.cpg,5,2026-09-17T18:49:23+08:00,Shapefile CPG,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)防護工\海灘資料-(人造物類)防護工\海灘_保護工.dbf,全國海灘環境調查,.dbf,97698,2026-09-17T18:49:23+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)防護工\海灘資料-(人造物類)防護工\海灘_保護工.prj,全國海灘環境調查,.prj,145,2026-09-17T18:49:23+08:00,Shapefile PRJ,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)防護工\海灘資料-(人造物類)防護工\海灘_保護工.shp,全國海灘環境調查,.shp,56692,2026-09-17T18:49:23+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-(人造物類)防護工\海灘資料-(人造物類)防護工\海灘_保護工.shx,全國海灘環境調查,.shx,2660,2026-09-17T18:49:23+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-全台開放釣點位置\海灘資料-全台開放釣點位置\全台開放釣點位置.kml,全台開放釣點位置,.kml,38636,2026-09-17T18:49:48+08:00,KML,utf-8,,,,,,,可能來自海巡署或漁業署,未確認,低,structured_evidence_candidate,候選,GIS KML 釣點位置資料。可作為近岸活動地點參考，但釣點不等於潛點。,確認來源與授權；確認 CRS
全國海灘環境調查\海灘資料-安檢所及海巡隊\海灘資料-安檢所及海巡隊\海灘_安檢所與海巡隊.cpg,全國海灘環境調查,.cpg,5,2026-09-17T18:49:53+08:00,Shapefile CPG,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-安檢所及海巡隊\海灘資料-安檢所及海巡隊\海灘_安檢所與海巡隊.dbf,全國海灘環境調查,.dbf,30547859,2026-09-17T18:49:53+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-安檢所及海巡隊\海灘資料-安檢所及海巡隊\海灘_安檢所與海巡隊.prj,全國海灘環境調查,.prj,145,2026-09-17T18:49:53+08:00,Shapefile PRJ,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-安檢所及海巡隊\海灘資料-安檢所及海巡隊\海灘_安檢所與海巡隊.shp,全國海灘環境調查,.shp,2318080,2026-09-17T18:49:53+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-安檢所及海巡隊\海灘資料-安檢所及海巡隊\海灘_安檢所與海巡隊.shx,全國海灘環境調查,.shx,662380,2026-09-17T18:49:53+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-平均高潮線\海灘資料-平均高潮線\海灘_平均高潮線.cpg,全國海灘環境調查,.cpg,5,2026-09-17T18:49:42+08:00,Shapefile CPG,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-平均高潮線\海灘資料-平均高潮線\海灘_平均高潮線.dbf,全國海灘環境調查,.dbf,1982048,2026-09-17T18:49:42+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-平均高潮線\海灘資料-平均高潮線\海灘_平均高潮線.prj,全國海灘環境調查,.prj,145,2026-09-17T18:49:42+08:00,Shapefile PRJ,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-平均高潮線\海灘資料-平均高潮線\海灘_平均高潮線.shp,全國海灘環境調查,.shp,247463916,2026-09-17T18:49:44+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-平均高潮線\海灘資料-平均高潮線\海灘_平均高潮線.shx,全國海灘環境調查,.shx,49492,2026-09-17T18:49:44+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-植生類\海灘資料-植生類\海灘_植生.cpg,全國海灘環境調查,.cpg,5,2026-09-17T18:50:07+08:00,Shapefile CPG,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-植生類\海灘資料-植生類\海灘_植生.dbf,全國海灘環境調查,.dbf,233545,2026-09-17T18:50:07+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-植生類\海灘資料-植生類\海灘_植生.prj,全國海灘環境調查,.prj,145,2026-09-17T18:50:07+08:00,Shapefile PRJ,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-植生類\海灘資料-植生類\海灘_植生.shp,全國海灘環境調查,.shp,517196,2026-09-17T18:50:07+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-植生類\海灘資料-植生類\海灘_植生.shx,全國海灘環境調查,.shx,6028,2026-09-17T18:50:07+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-沙灘\海灘資料-沙灘\全國海岸\全國海岸.dbf,全國海灘環境調查,.dbf,162004,2026-09-17T18:49:57+08:00,Shapefile,binary,,,,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-沙灘\海灘資料-沙灘\全國海岸\全國海岸.shp,全國海灘環境調查,.shp,164460,2026-09-17T18:49:57+08:00,Shapefile,binary,,,,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-沙灘\海灘資料-沙灘\全國海岸\全國海岸.shx,全國海灘環境調查,.shx,2548,2026-09-17T18:49:57+08:00,Shapefile,binary,,,,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-海岸資訊看板\海灘資料-海岸資訊看板\海灘_海岸資訊看板.cpg,全國海灘環境調查,.cpg,5,2026-09-17T18:50:03+08:00,Shapefile CPG,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-海岸資訊看板\海灘資料-海岸資訊看板\海灘_海岸資訊看板.dbf,全國海灘環境調查,.dbf,4949,2026-09-17T18:50:03+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-海岸資訊看板\海灘資料-海岸資訊看板\海灘_海岸資訊看板.prj,全國海灘環境調查,.prj,145,2026-09-17T18:50:03+08:00,Shapefile PRJ,utf-8,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-海岸資訊看板\海灘資料-海岸資訊看板\海灘_海岸資訊看板.shp,全國海灘環境調查,.shp,2872,2026-09-17T18:50:03+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-海岸資訊看板\海灘資料-海岸資訊看板\海灘_海岸資訊看板.shx,全國海灘環境調查,.shx,892,2026-09-17T18:50:03+08:00,Shapefile,binary,,,EPSG:4326,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-礁岩\海灘資料-礁岩\礁岩1218.geojson,全國海灘環境調查,.geojson,772213,2026-09-17T18:50:12+08:00,GeoJSON,utf-8,,,,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-礁岩\海灘資料-礁岩\礁岩1218.qmd,全國海灘環境調查,.qmd,1038,2026-09-17T18:50:12+08:00,QMD,utf-8,,,,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
